,_id,排名,标题,作者,综合评分,视频分类,视频标签,播放量,弹幕数,评论,收藏,点赞数,投币数,分享数,up主性别,bilibili个人认证,up主粉丝总数,up主总观看数,up主总获赞数,up主视频数,主分类
0,5eba48a9537acd9e3a576b80,1,bilibili献给新一代的演讲《后浪》,哔哩哔哩弹幕网,23454532,日常,"何冰,正能量,后浪,五四,青年,年轻人,宣言片,演讲",23564316,220441,52332,825046,1494038,1451631,976070,男,哔哩哔哩弹幕网官方账号 ,2704115,260555030,26679821,86,全站
1,5eba48aa537acd9e3a576b81,2,【醒醒】中华儿女该起床了,冈部伦太郎·,18430769,日常,"罗翔,高考,郑强演讲,正能量,郑强,考研,学习,励志,燃爆,张三,后浪",6210329,77068,24224,734264,963476,876196,149756,保密,,30685,6180099,969708,71,全站
2,5eba48ab537acd9e3a576b82,3,黑人抬棺原版视频,比划比划鬼畜网,14080543,搞笑,"万恶之源,鬼畜素材,黑人小哥,黑人,高能,魔性",37612110,320980,38813,766650,1253643,303053,651241,保密,,113373,42111238,1395190,9,全站
3,5eba48ac537acd9e3a576b83,4,恭喜你发现宝藏,努力の巳宝宝,14047465,MAD·AMV,"MAD.AMV,天气之子,全能打卡挑战,AMV,极致画质,补帧,纯剪辑,新人向,催泪向,雨水,海兽之子",4962163,19817,9050,547037,733656,609646,35062,女,,80215,10732492,1283955,70,全站
4,5eba48ae537acd9e3a576b84,5,当你遭遇跟踪！快打开！,蓝书爱喝水,10462656,日常,"声优,求助,报警,警察,安全,小视频",2696705,7561,13312,452363,398885,211281,32220,男,,108365,4946188,685294,46,全站
5,5eba48af537acd9e3a576b85,6,花了一万多元终于见到最早开放世界游戏之一,敖厂长,10110281,单机游戏,"游戏资讯,敖厂长,单机,游戏杂谈,游戏视频,杂谈",5019095,74624,14361,316064,962308,1348917,20058,保密,bilibili 2018百大UP主、知名游戏UP主,6931504,836731205,19180228,100,全站
6,5eba48b0537acd9e3a576b86,7,最强尴尬王！！！！！！,某幻君,9028099,原创音乐,"原创歌曲,老番茄,某幻,尬帝,B站搞说唱,说唱,沙雕,音乐,娱乐,RAP,搞笑",6881766,59509,28586,308265,756343,528773,51022,男,bilibili 2019百大UP主、 知名UP主,5193867,314841729,15568883,100,全站
7,5eba48b1537acd9e3a576b87,8,亲身经历，曝光某些公司有多黑暗,林晨同学,8962656,日常,"维权,曝光,侵权,up主,公司,公司员工,记录,生活",7785494,147849,36079,263898,1019463,857013,91703,保密,bilibili 知名Vlog UP主,600740,38908949,3210249,73,全站
8,5eba48b2537acd9e3a576b88,9,【才浅手工】为什么这把折扇做了40天？用过于硬核的制作方式打造一把暗藏玄机的红蝶折扇,才疏学浅的才浅,8778322,野生技术协会,"手机游戏,技术宅,手工,第五人格,红蝶,硬核,折扇,制作,diy",3665544,68065,12108,286455,777781,924127,51536,男,bilibili 知名UP主,1707857,38652876,5465752,28,全站
9,5eba48b3537acd9e3a576b89,10,如果把【黑人抬棺】做成中国风音乐,12仔,8699787,电音,"国风音乐,电音,House,黑人抬棺,打开吧！脑洞,中国风,国风",6178422,33149,14362,305903,664775,439521,63793,保密,,77612,6673042,711173,31,全站
10,5eba48b4537acd9e3a576b8a,11,解决男生「雌化」尴尬，脂肪胸变胸肌！家中可练，不需场地器械。,闫帅奇,7992366,健身,"瘦身塑形,健身跟练挑战,健身,胸肌,肌肉,增肌,减脂,胸部,塑形,家庭健身",2245663,7484,5529,335067,174102,153420,18374,男,bilibili 知名运动UP主,613720,16805580,1124946,65,全站
